Year,Police Service,City,Province,Investigation Final Decision
2017,York Regional Police,,Ontario,"On these facts, although I find that the Complainant’s injury was caused by the police officers either when the Complainant was taken to the ground or when the SO delivered a distractionary elbow strike which inadvertently struck the Complainant in the face, I find that pursuant to section 25(1) of the Criminal Code, the police officers involved used no more force than was reasonably necessary in the execution of their lawful duties in apprehending an intoxicated, combative and resistant man and that the force used by them was no more than was required to protect themselves from the Complainant and to subdue and handcuff him. As such, I am therefore satisfied on reasonable grounds on this record that the actions exercised by the police officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with criminal charges in this case."
2017,Toronto Police Service,,Ontario,"In conclusion, having extensively reviewed all of the evidence before me, I am unable to form reasonable grounds to believe that a criminal act was committed by any police officer in his dealings with the Complainant on September 5, 1982, or conclude on reasonable grounds that any police officer was responsible for, or contributed to, the death of the Complainant, as a result of which, no criminal charges will follow."
2017,Toronto Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury or injuries which he suffered. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Guelph Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he suffered. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the SO fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Ottawa Police Service,Ottawa,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s arrest, and the manner in which it was carried out, was lawful notwithstanding the injury which he suffered, even were I to find that the officers caused the injury, which I am unable to conclude on this evidence. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,North Bay Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s apprehension and the manner in which it was carried out was lawful notwithstanding the injury which he may have suffered during his arrest (although I am not at all convinced that the injury was due to the SO’s actions). I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the SO fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Ottawa Police Service,Ottawa,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s apprehension and the manner in which it was carried out was lawful notwithstanding the injury which she may have suffered, even were I to find that the officers caused the injury, which is speculative at best. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell well within the limits prescribed by the criminal law, that they used no more than the absolute minimum force required to protect the Complainant from harm, and that their actions, which exhibited patience, caring, and consideration of the state of crisis in which the Complainant found herself, were not only acceptable, but were commendable in the circumstances. On these facts, there is not a shred of evidence upon which I could form reasonable grounds to believe that these police officers committed a criminal act and there are therefore no grounds for proceeding with charges in this case."
2017,Peel Regional Police,,Ontario,"On this evidence, although I find that the Complainant’s injuries were caused by a police officer and were as a direct result of her falling due to the deployment of the CEW, I cannot find this to have been an excessive use of force. On the contrary, I find that the SO, in assessing the situation and his use of force options, at all times acted prudently, responsibly and in the best interests of both the Complainant and the safety of his fellow police officers and the community. In short, the SO used good common sense to alleviate the danger posed by the Complainant without causing unnecessary harm to her in the process. For the foregoing reasons, I can find no evidence to form reasonable grounds to believe that any criminal offence was committed here by the SO, or any police officer involved in the apprehension of the Complainant, and there are no grounds for proceeding with criminal charges in this case."
2016,York Regional Police,East Gwillimbury,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s apprehension and the manner in which it was carried out were lawful notwithstanding any injury which he may suffered, even were I to find that the officers caused any such injury, which I am not inclined to do. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Halton Regional Police Service,,Ontario,"On the basis of the foregoing, I find that the injury suffered by the Complainant was an unfortunate accident that was completely unforeseeable, that the DD was deployed without any intention on the part of the SO to use force against the Complainant and that there is no evidence that the SO was even aware of the presence of the Complainant. As such, I find that there is an absence of any reasonable grounds to believe that a criminal offence has been committed here and I am satisfied that there are no grounds for proceeding with charges in this case."
2016,Toronto Police Service,,Ontario,"As such, I am therefore satisfied on this record that the actions of the subject officers – SO #1, SO #2 and SO #3 – fell within the limits prescribed by the criminal law and thus conclude there are no grounds to believe that a criminal offence was committed. Accordingly, no charges will issue."
2016,Ottawa Police Service,Ottawa,Ontario,"Accordingly, I am unable to form reasonable grounds to believe that SO #1 and SO #2 committed a criminal offence in relation to their interactions with the Complainant on February 19, 2016. As a result, no charges will issue and this case will be closed."
2016,Peel Regional Police,Brampton,Ontario,"Accepting, then, that the Complainant’s injuries were caused when he was removed from the BMW through the driver’s window and fell to the ground, I find that the officers used no more force than necessary to affect their lawful purpose. The jurisprudence is clear that officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975), 27 C.C.C. (2d) 96 (Ont. C.A.)) nor should they be judged to a standard of perfection (R. v. Nasogaluak, [2010] 1 S.C.R. 206). On this record, it is clear that the force used by the SO, WO #4 and WO #5, given the dynamic nature of the arrest and the danger caused by the BMW trying to escape the police block, fell within the range of what was reasonably necessary in the circumstances to affect the Complainant’s lawful detention, notwithstanding the injury he suffered as a result. Accordingly, there are no grounds for proceeding with charges in this case, and no charges will issue."
2016,Toronto Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding his tragic death, which appears to have been inevitable based on his pre-existing heart condition combined with his ingestion of a toxic level of cocaine. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the SO fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Toronto Police Service,,Ontario,"I find on the record before me that the evidence falls far short of the standard of reasonable grounds to believe any officer committed an offence of Assault Causing Bodily Harm contrary to the Criminal Code, in this instance. I find that there is sufficient credible evidence that the Complainant suffered his broken toe prior to the arrival of police that I am left without any reasonable grounds to believe that there is a causal connection between the Complainant’s injury and the actions of police. Having rejected the evidence of the Complainant and CW #1, I am unable, on the remaining evidence, to find reasonable grounds to believe that any of the police officers who attended exercised an excessive use of force in their attempts to arrest the Complainant or that the actions of police were the source of the Complainant’s injury and thus there are no grounds to believe a criminal offence was committed by any of the police officers and no charges will issue."
2016,,Windsor,Ontario,"Accordingly, I am satisfied for the foregoing reasons that the SO and WO #1 used such force as was reasonably necessary to apprehend the Complainant under the MHA, notwithstanding the injury which she may have suffered. The jurisprudence is clear that while police officers’ actions must be commensurate with the task at hand, they cannot be expected to measure their responsive force to a nicety (R. v. Baxter (1975), 27 C.C.C. (2d) 96 (Ont. C.A.)) or to be judged against a standard of perfection (R. v. Nasogaluak, [2010] 1 S.C.R. 206). I have no reasonable basis to believe that either police officer committed a criminal offence and there are no grounds for proceeding with charges in this case."
2017,Peel Regional Police,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injuries which he suffered. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the police officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Brantford Police Service,,Ontario,"In the final analysis, I am satisfied on this record that the SO was acting lawfully when he first attempted to stop the Nissan in an attempt to execute his warrant and that his conduct thereafter fell within the limits of care prescribed by the criminal law. Accordingly, there are no grounds for proceeding with charges against the officer."
2016,Peel Regional Police,,Ontario,"In the final analysis, I have no hesitancy in concluding that the actions of the involved PRP officers were conducted throughout in a manner that was professional, responsive and reasoned. In this respect, it is significant to note that it was the opinion of CW #1 that the PRP officers only entered the apartment to speak with the complainant, that they had no chance to communicate with the complainant before he jumped and that they did nothing that he considered to be wrong. Accordingly, there are no reasonable grounds to believe that any offence has been committed by the SO and no charges will issue."
2016,Toronto Police Service,Huron,Ontario,"On a review of the record in this case, there is no evidence that the officers used any force to apprehend the Complainant, other than the very minimal force required to place the handcuffs onto the Complainant, which were immediately removed when he complained of pain. What is clear on all of the evidence from all witnesses is that the bottle of wine came through this ordeal unscathed and undamaged. I find that the Complainant, in attempting to flee from the officers in his state of extreme intoxication and for the sole purpose of protecting his alcohol, caused the injury to himself without any intervention by police. It is notable that at no time were any allegations made against these officers by any of the four independent civilian witnesses who observed the interaction between the officers and the Complainant, with respect to any inappropriate actions on their part and I am satisfied on reasonable grounds on this record that the actions exercised by the officers fell well within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,North Bay Police Service,,Ontario,"The Complainant’s death was a tragedy. However, to attempt to determine the Complainant’s motivations at the time he jumped would be speculative. Moreover, there is no evidence to indicate that the SO or WO #1 bore any criminal responsibility for the Complainant’s ultimate decision. To the contrary, the Complainant was the author of his own ending when he jumped from an 8th floor window and descended almost 20 metres to the ground below. Nothing from the investigation suggested that the involved officers were anything less than professional and attentive during the incident involving the Complainant. Accordingly, there are no reasonable grounds to believe that an offence has been committed and no charges will issue."
2016,Peel Regional Police,Mississauga,Ontario,"Although it is regrettable that the Complainant received significant injuries during the execution of the search warrant, I am not satisfied on this record for the foregoing reasons that the actions of SO #1 and SO #2 fell outside the limits prescribed by the criminal law. Accordingly, I am unable to form reasonable ground to believe that a criminal offence has been committed and no charges will issue."
2016,Toronto Police Service,,Ontario,"On this record, I find that the Complainant’s death was caused by his own actions without any direct involvement by the police officers present; that officers present were carrying out their duties as required in responding to the 911 call; and that at no time did any officer have either any physical contact nor any verbal interaction with the Complainant that could in any way have been seen to initiate the actions of the Complainant. On a review of all of the evidence, it is clear that no officer unholstered his firearm until after the sound of the gunshot that caused the Complainant’s death and further, on the evidence of the emergency personnel at the scene, no police officer was in close proximity to the Complainant at the time of the gunshot nor were they in a position to have fired the shot, since emergency personnel were standing between police and the Complainant. The actions of the Complainant were clearly without warning or provocation and were completely unforeseen to any emergency or police personnel present. We will, of course, never know definitively what was going on in the Complainant’s mind that would lead him to take such a drastic and lethal action, but there can be no doubt that no fault lies with any of the police officers present, who were merely carrying out their duties as they are required to do. It is notable that at no time were any allegations made against these officers by anyone, with respect to any inappropriate actions on their part and I am satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Toronto Police Service,Midland,Ontario,"On all of the evidence, it is without dispute that when police officers arrived at the Complainant’s unit, they announced themselves as police, their only request was that the Complainant come out and speak with them and that they never breached the door or entered the apartment prior to the Complainant taking her own life. We will, of course, never know what was going on in the Complainant’s mind that would lead her to take such a drastic and fatal action, but there can be no doubt that no fault lies with SO #1 and SO #2, who were merely carrying out their duties as they are required to do. It is further notable that at no time were any allegations made against these police officers, by anyone, with respect to any inappropriate actions on their part and that they immediately responded when they received the information that the Complainant may have jumped, called for ambulance and police assistance, and initiated lifesaving efforts. On all of the evidence, I am satisfied on reasonable grounds that there is no causal connection between the actions of the responding police and TCHC officers and the death of the Complainant. I am further satisfied that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,,,Ontario,"It is notable that at no time were any allegations made against these officers by anyone, with respect to any inappropriate actions on their part. On this record, I am satisfied that the officers used the minimal amount of force required to handcuff the Complainant and that the Complainant alone caused his injury by going out of a second floor window and falling backward onto the asphalt below. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Toronto Police Service,Toronto,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he suffered. I am, therefore, satisfied on reasonable grounds on all of the available evidence that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Hamilton Police Service,Hamilton,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s apprehension, and the manner in which it was carried out, was lawful notwithstanding the injury which he suffered. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the police officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,York Regional Police,Markham,Ontario,"On a review of all of the evidence, I find that there is no evidence that the driving of the SO created a danger to other users of the roadway or that at any time did he interfere with other traffic; in fact, other than his initial high rate of speed in his attempt to catch up to the Complainant’s vehicle, it does not appear that he contravened any provision of the Highway Traffic Act; additionally the environmental conditions were good and the roads were dry. As such, I find that the evidence of the SO’s driving does not rise to the level of driving required to constitute “a marked departure from the norm” and, as indicated earlier, there is no evidence to support a causal connection between the actions of the SO and the motor vehicle collision caused by the Complainant. In fact, in reviewing the evidence in its entirety, it is clear that not only did the SO respond to the situation in full compliance with the Criminal Code, the Highway Traffic Act and the Ontario Police Services Act, but he behaved at all times professionally and prudently. As such, I find that there is absolutely no basis here for the laying of criminal charges."
2016,Niagara Regional Police Service,,Ontario,"Accordingly, I am satisfied that the SO’s strike of the Complainant’s head during his and WO #1’s efforts to handcuff the Complainant was reasonably necessary given her size and violent behaviour towards herself and the police officers once it became clear that she was going to be arrested. The Complainant was out of control, kicking at the police officers, attempting to cut her wrists with broken plastic, and squirming and resisting even once she was on the floor. The Complainant’s resistant behaviour continued after she was handcuffed, as she struck her head against the wall as she was led out of the home, and bit parts of the police cruiser once she was placed inside. The jurisprudence is clear that while police officers’ actions must be commensurate with the task at hand, they cannot be expected to measure their responsive force to a nicety (R. v. Baxter (1975), 27 C.C.C. (2d) 96 (Ont. C.A.)) or to be judged against a standard of perfection (R. v. Nasogaluak, [2010] 1 S.C.R. 206). Given that, and the evidence described above, I have no reasonable basis to believe that the SO committed a criminal offence and there are no grounds for proceeding with charges in this case."
2016,Peel Regional Police,,Ontario,"Finally, I have considered whether the offences of criminal negligence or failure to provide the necessities of life were made out in this case. While the decision of WO #1 and WO #2 to remove the Complainant from the backyard by putting him over the fence while handcuffed with his hands behind his back was ill-advised and not well considered, it does not reach the level of being a marked and substantial departure from the conduct of a reasonably prudent person in the circumstances, let alone amount to a wanton and reckless disregard for the well-being of an individual such that an offence of criminal negligence causing bodily harm might be made out."
2016,Toronto Police Service,,Ontario,"Accordingly, I do not have reasonable grounds to believe that a criminal offence has occurred and no charges will be laid."
2016,Toronto Police Service,,Ontario,"As such, I am satisfied on reasonable grounds that the SO’s actions fell within the limits prescribed by the criminal law and there are no grounds to believe he committed a criminal offence. No charges will issue."
2016,Greater Sudbury Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he suffered, even were I to find that the officers caused the injury, which I am not inclined to do. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the police officers fell within the limits prescribed by the criminal law and thus no charges will issue."
2016,Peel Regional Police,Mississauga,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injuries which he suffered. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the police officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,,,Ontario,"In the circumstances, I find that such punches were necessary and reasonable given the other options available to the SO. The jurisprudence is clear that police officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975), 27 C.C.C. (2d) 96 (Ont. C.A.)) nor should they be judged to a standard of perfection (R. v. Nasogaluak, [2010] 1 S.C.R. 206). On the facts set out above, the force used by the SO fell within the range of what was reasonably necessary in the circumstances to effect the Complainant’s lawful detention, notwithstanding the injury he suffered as a result. Accordingly, there are no grounds for proceeding with charges in this case, and no charges will issue."
2016,Toronto Police Service,King,Ontario,"As such, I find that the evidence of the SO’s driving does not come close to the level of driving required to constitute “a marked departure from the norm” and, as indicated earlier, there is no evidence to support a causal connection between the actions of the SO and the motor vehicle collision caused by the Complainant. In fact, in reviewing the evidence in its entirety, it is clear that not only did the SO respond to the situation in full compliance with the Criminal Code and the Ontario Police Services Act, but he behaved at all times professionally, prudently and with good common sense and, as such, I find that there is absolutely no basis here for the laying of criminal charges."
2016,Ontario Provincial Police,North Bay,Ontario,"On all of the evidence, there are no reasonable grounds here to believe that any criminal offence has been committed and no basis for the laying of charges."
2016,Ottawa Police Service,King,Ontario,"On this record, there is no causal connection between the actions of police and the injuries sustained by the Complainant; nor is there any basis for the laying of criminal charges."
2016,Ontario Provincial Police,,Ontario,"I further find that on the evidence on this record, it is far more likely that the Complainant either injured his clavicle when he fell, or he dislocated his shoulder when he fell and later broke his clavicle when he smashed his shoulder into the wall of the cell in an attempt to put his shoulder back into alignment. Whatever the mechanism of his injury, however, there are no reasonable grounds to believe that there was an excessive use of force by the police officers who arrested the Complainant, that the force used by police officers caused the injury to the Complainant or that there was any criminal wrongdoing by either the SO, WO #1 or WO #2. As such, there is no basis here for the laying of criminal charges."
,,,Ontario,
2016,,Kitchener,Ontario,"Nonetheless, given the complainant’s size, aggression and determination not to do as lawfully required by the officers, I conclude that the conduct of the three SOs did not fall outside the range of what was reasonably necessary to attempt to subdue the complainant and take him into custody. The jurisprudence is clear - officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975), 27 C.C.C. (2d) 96 (Ont. C.A.)) nor should they be judged to a standard of perfection (R. v. Nasogaluak, [2010] 1 S.C.R. 206). As such, I am satisfied on reasonable grounds that the actions exercised by the police officers fell within the limits prescribed by the criminal law and there are no grounds to believe they committed a criminal offence. No charges will issue."
2016,Waterloo Regional Police Service,Waterloo,Ontario,"The Complainant died on October 31, 2016, because he intended to die and took extensive steps to ensure that it happened. The Complainant died because of his own actions. I am unable to find any fault with the conduct of the attending officers that would give me reasonable grounds to believe that a criminal offence was committed. As a result, no charges will issue."
2016,Toronto Police Service,Toronto,Ontario,"Should I find that the Complainant’s injury was caused by the TPS officers going to the ground with him and the Complainant striking his head on the rough and uneven ground, I find that pursuant to section 25(1) of the Criminal Code, the police officers involved used no more force than was reasonably necessary in the execution of their lawful duties in apprehending the Complainant. While I find that the degree of force with which the Complainant’s head struck the ground may have been greater than perceived by the police officers as the momentum increased with the police officers falling with him, and may therefore have caused his injury, the jurisprudence is clear, police officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975), 27 C.C.C. (2d) 96 (Ont. C.A.)) nor should they be judged to a standard of perfection (R. v. Nasogaluak, [2010] 1 S.C.R. 206). As such, I am therefore satisfied on reasonable grounds on this record that the actions exercised by the police officers fell within the limits prescribed by the criminal law and thus there are no grounds to believe they committed a criminal offence and no charges will issue."
2016,South Simcoe Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he suffered, even were I to find that the police officers caused the injury, which I am not inclined to do. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Peel Regional Police,Mississauga,Ontario,"On a review of all of the available evidence, there is no basis here for the laying of criminal charges and no evidence that any police officer acted inappropriately toward The Complainant."
2016,,London,Ontario,"As such, there are no grounds to believe the SO committed a criminal offence, and no charges will issue."
2016,Halton Regional Police Service,,Ontario,"As such, I am satisfied on reasonable grounds that the actions exercised by the SO fell within the limits prescribed by the criminal law and there are no grounds to believe they committed a criminal offence. No charges will issue."
2016,Ontario Provincial Police,Thunder Bay,Ontario,"As such, I am satisfied on reasonable grounds that the SO’s actions fell within the limits prescribed by the criminal law and there are no grounds to believe he committed a criminal offence. No charges will issue."
2016,Ontario Provincial Police,Gananoque,Ontario,"I find, however, that in the absence of any evidence of the SO’s driving prior to the collision, that there is insufficient evidence to find reasonable grounds to believe that any criminal offence has been committed here. In this case, there is an absence of any evidence from other drivers as to the SO’s driving prior to the collision; the pre-crash data only shows that she was driving at a rate of speed in excess of that being observed by other traffic ahead of her and that she failed to adjust her speed to take into account the other users of the roadway. As such, there are clearly ample grounds to believe that the SO was driving her motor vehicle in a careless manner without reasonable care and attention, contrary to s.130 of the Highway Traffic Act, but that the evidence is insufficient to rise to the level required pursuant to the Criminal Code. On that basis, there are no grounds for the laying of criminal charges."
2016,,Hamilton,Ontario,"There remains the issue around the mechanism of the complainant’s injuries. The evidence suggests that they occurred from the impact with the subject officer’s motorcycle after the complainant’s Suzuki lurched forward. However, particularly in light of the medical evidence, one cannot dismiss the complainant’s fall to the ground, either after the collision with the police motorcycle or the push from the officer, as causing or contributing to the fractures he suffered. In the final analysis, however, the uncertainty in this area of the evidence is of no consequence given my analysis of the officer’s conduct. That is, while I am satisfied that the complainant’s injuries resulted from his collision with the subject officer’s motorcycle or his fall from his motorcycle, or some combination of the two, there remains nothing in what the officer did or failed to do that would justify criminal proceedings against him. As such, this file is closed."
2016,Peel Regional Police,Mississauga,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the apprehension of the Complainant as well as the manner in which it was carried out, were lawful notwithstanding the injuries which he suffered. In my opinion, the injuries suffered by the Complainant pale in comparison to the outcome that the Complainant had planned for his own demise. I am, therefore, satisfied on reasonable grounds that the actions exercised by the PRP TRU officers fell well within the limits prescribed by the criminal law. Accordingly, there are no grounds for proceeding with any charges in this case. I would add that, in my opinion, the actions of all the PRP TRU officers - the SO, WO #2, WO #3, WO #4 WO #6 and WO #9, as well as WO #7 and WO #8 under the direction of WO #1 - were professional and commendable."
2016,,Toronto,Ontario,"On a review of the relevant legislation and on all of the evidence, I find that the SO acted reasonably in all of the circumstances with all of the information available to him and used no more force than was necessary. On reviewing the video, it is without dispute that the Complainant’s attack on the officer was sudden and without provocation. It is also clear from the reaction of WO #1, as observed on the CCTV footage, in jumping backward and almost reactively removing his firearm from its holster in response to the sudden and violent movement of the Complainant, that WO #1 also clearly feared for the life of his partner. Although WO #1 did not discharge his firearm, he had the benefit of being on the other side of the police cruiser from the Complainant; an advantage that the SO did not have."
2016,Niagara Regional Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful and that there is no causal connection between the injury that was diagnosed on September 11th and the actions of the officers on September the 10th. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Toronto Police Service,,Ontario,"It is not in issue that the complainant resisted the officers’ efforts to handcuff him. There is a suggestion in the evidence that the officers physically assaulted the complainant on various parts of his body, resulting in visible injuries. However, the injuries recorded in his medical records and the witness statements did not coincide with this account. Additionally, SIU investigators’ visual examination of his back and right shoulder area two days following the incident revealed no bruising. It is also alleged that the complainant was struck by a CEW multiple times. Yet, the CEW download records for the only two CEWs present during the incident had no record of deployments during that time period. The two officers carrying these devices, SO #1 and WO #1, confirmed their CEWs were temporarily un-holstered but never engaged, despite the complainant’s ongoing and extensive opposition. In the final analysis, even assuming for the moment that one of the officers manipulated the complainant’s wrist in an effort to wrest control of his arm, thereby causing the injury, the balance of the evidence indicates that the force applied by the involved officers in their involvement with the complainant was restrained, proportional and directly in response to the complainant’s continued resistance."
2016,,,Ontario,"On the evidence, it is clear that nothing that the SO said or did provoked the Complainant to jump to his death, on the contrary, it appears from all of the evidence that the Complainant was intent on ending his life and no amount of police intervention was going to change his mind. Despite the best efforts of the SO to dissuade the Complainant from taking the fatal step which he did, it appears that the Complainant was intent on his course of action which is confirmed when, in response to the SO’s question asking what he could do for the Complainant, the Complainant responded that the SO could watch him jump. It is clear on the evidence of all of the civilian witnesses that the Complainant was alone on the balcony when he jumped and that he alone was responsible for taking his life. Within two minutes of the SO’s arrival in the Complainant’s unit, before he had the opportunity to do anything more than engage the Complainant in brief conversation in an attempt to dissuade the Complainant from his course of action, the Complainant decided he needed to immediately jump to his death before anyone could prevent him doing so. On this basis, despite the tragic outcome for the Complainant, I am satisfied on reasonable grounds that there are no grounds for proceeding with charges in this case."
2016,Toronto Police Service,Toronto,Ontario,In determining whether the amount of force used by the officer was necessary the jury must have regard to the circumstances as they existed at the time the force was used. They should have been directed that the appellant could not be expected to measure the force used with exactitude. [p. 218]
2016,Ontario Provincial Police,,Ontario,"The complainant died because he was intent on not going into police custody, and was willing to die for that end. He died because of his own actions, and in the circumstances, there are no reasonable grounds to believe that any charges should issue."
2016,Toronto Police Service,,Ontario,"Accordingly, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he may have suffered. The jurisprudence makes clear that while police officers’ actions must be commensurate with the task at hand, they cannot be expected to measure their responsive force to a nicety (R. v. Baxter (1975), 27 C.C.C. (2d) 96 (Ont. C.A.)) or to be judged against a standard of perfection (R. v. Nasogaluak, [2010] 1 S.C.R. 206). I have no reasonable basis to believe that the SO has committed a criminal offence and there are no grounds for proceeding with charges in this case."
2016,Waterloo Regional Police Service,Kitchener,Ontario,"Taking into consideration the fact that the Complainant had already been involved in a serious altercation at Roxxanne’s Bar and Grill, and that he had used his considerable strength to bulldoze through the two police officers trying to arrest him, it was not a stretch to find that he was more than capable of continuing to commit his assaultive behaviour, if he was not subdued. It is my opinion that if the injury to the Complainant was not pre-existing, it is more than likely that the Complainant suffered his injury when he was being severely stomped on at Roxxanne’s Bar and Grill. It would be difficult to comprehend how the minimal force used to subdue the Complainant at the hospital by SO #1 and SO #2 could have caused his back injuries when the extreme force inflicted on the Complainant at the bar, could not. Even if the injuries were caused as a result of the police officers attempts to subdue the Complainant, I cannot find that to be an excessive use of force. It is abundantly clear that the force used by both SO #1 and SO #2 was no more than required to meet and overcome the resistance and powerful physical strength of the Complainant. Without any doubt, the actions of both SO #1 and SO #2 fell well within the range of what was reasonably necessary in the circumstances to affect his lawful detention."
2016,Ontario Provincial Police,Brant,Ontario,"I have no hesitation in concluding that, while it is a tragedy that the complainant suffered such serious injuries during her encounter with the OPP, there was nothing in the conduct of the SO that would warrant criminal charges in this case. Accordingly, this case will be closed and no charges will issue."
2016,Toronto Police Service,,Ontario,"There is no ambiguity as to the cause of the complainant’s injury. The complainant fractured his foot when he intentionally went out a window in his third floor apartment and fell to the ground. By all accounts, the police officers were not in his apartment and had no influence on his decision to go out the window, other than merely being present in front of his apartment building at the time. Accordingly, there are no grounds for proceeding with criminal charges against the SO and this case will be closed."
2016,Ontario Provincial Police,,Ontario,"In the final analysis, the totality of the evidence satisfies section 25(3) and all three requirements of section 34 of the Criminal Code. As a result, there are no reasonable grounds to believe that the SO exceeded the ambit of justifiable force in the circumstances. Consequently, no charges will issue and this case will be closed."
2016,Hamilton Police Service,,Ontario,"As such, I am satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with criminal charges in this case."
2016,,,Ontario,"Reviewing the evidentiary record, the SO was driving fully within her own lane of traffic at speeds that accorded with the general flow of traffic on the Highway 400 ramp. The SO made no abrupt or unsafe maneuvers prior to her vehicle being struck by the Complainant. The SO was alert and safely in complete control of her police cruiser at all times. In fact, it is my conclusion that the cumulative evidence indicates that the Complainant directly caused the accident as a result of her attempt to maneuver across three lanes of traffic in order to access the Highway 400 ramp without sufficient time or preparation. It is my opinion that there are no reasonable grounds to believe that the SO drove dangerously and no charges will issue."
2016,Ontario Provincial Police,,Ontario,"Pursuant to section 25(1) of the Criminal Code, a police officer is entitled to use force in the execution of his or her lawful duty provided the force in question is limited to that which is reasonably necessary. According to WO #2 and the civilian witnesses present for the arrest, the only force employed by the SO was to handcuff the Complainant with her arms behind her back. There was no evidence that this was done in a manner that was unreasonable or that an excessive degree of force was used. Although an x-ray revealed the Complainant may have a broken bone in her left wrist, there was no evidence that any physical contact she had with the SO was the cause of this injury."
